tehsil_idx,shapeName,AI_poc,SPI_poc,road_density_km_per_km2,centroid_to_road_km,tri_mean,forest_pct,water_pct,snow_ice_pct
0,GILGIT,4.975539638897867,3.4947216115473516,0.08113007817714116,1.8834719468978975,0.02490081651259606,100.0,100.0,100.0
1,NAGAR-II,0.9628882764515243,0.5293333229790477,0.0005317092748102077,19.150726189518508,0.02214935741314484,100.0,0.0,0.0
2,ALIABAD,0.8487152781217279,0.6674039718284946,0.0,30.66470058401607,0.023790934814600703,100.0,0.0,0.0
3,PUNIAL,0.9642636154719707,-0.24967930256340304,0.0007467736478269724,20.317666015918885,0.012887363410830067,100.0,0.0,0.0
4,NAGAR-I,0.7596203145548164,0.7628161524801411,0.0,42.245901910213,0.02492532855350573,100.0,0.0,0.0
5,CHILAS,0.7545331704744057,0.3902977970481785,0.0002379961820176498,44.39637212667484,0.02049630820051662,100.0,0.0,0.0
6,RONDU,0.8309249176895862,0.022023551690322603,0.0,32.977219020319225,0.016117747776882525,100.0,0.0,0.0
7,DAREL TANGIR,0.6512228887761917,0.11841860558623868,0.0,56.33617548938049,0.01726382729056832,100.0,0.0,0.0
8,ISHKOMEN,0.6557282170873077,0.036272514895722766,0.0,55.75054065523566,0.024611405600533785,0.0,0.0,0.0
9,ASTORE,0.8232468161115729,0.9306397770895046,0.0038771299916725587,58.23552987417206,0.026920651034314416,100.0,0.0,0.0
10,GOJAL,0.39463466299095656,-0.024364580368144886,0.0,89.68935036911175,0.02389046681952153,0.0,0.0,0.0
11,DASSU,0.3130034884215463,,0.0,100.30035495717996,,0.0,0.0,0.0
12,YASIN,0.42345337311416736,,0.0,85.94328807180176,,0.0,0.0,0.0
13,GUPIS,0.40344080460173376,,0.0,88.54466502643446,,0.0,0.0,0.0
14,SHIGAR,0.40179066807991726,0.5502985847652179,0.0,88.75916158729241,0.030722868008282993,0.0,0.0,0.0
15,SKARDU,0.42934480655223706,,0.0,85.17747736809198,,0.0,0.0,0.0
16,ATHUMQAM,0.3132469718826387,,0.0,100.26870523345127,,0.0,0.0,0.0
17,KANDIA,0.24396440583832285,,0.0,109.27454926359292,,0.0,0.0,0.0
18,BALAKOT,0.13927051284184022,,0.0,122.88341113270403,,0.0,0.0,0.0
19,PALAS,0.011263380251310878,,0.0,139.52269481799053,,0.0,0.0,0.0
20,PATTAN,-0.006032435936191044,,0.0,141.77092885220642,,0.0,0.0,0.0
21,GULTARI,0.1322278231181389,,0.0,123.79887037195573,,0.0,0.0,0.0
22,ALAI,-0.08556024413659108,,0.0,152.10852281853994,,0.0,0.0,0.0
23,BAHRAIN,-0.09507016177701795,,0.0,153.3446900089179,,0.0,0.0,0.0
24,MASTUJ,-0.03172354100169731,,0.0,145.11044264899533,,0.0,0.0,0.0
25,BISHAM,-0.21312744732454902,,0.0,168.69062132997914,,0.0,0.0,0.0
26,BATAGRAM,-0.2658936985151578,,0.0,175.54955649086708,,0.0,0.0,0.0
27,MUZAFFARABAD,-0.21276844440178255,,0.0,168.64395555944847,,0.0,0.0,0.0
28,ALPURI,-0.2648138112059144,,0.0,175.40918500591147,,0.0,0.0,0.0
29,KHARMANG,-0.08093722680353545,,0.0,151.50758992261473,,0.0,0.0,0.0
30,CHIKSAR,-0.3055796651196988,,0.0,180.70822260027902,,0.0,0.0,0.0
31,MANSEHRA,-0.3149413447319193,,0.0,181.92512075029683,,0.0,0.0,0.0
32,KHAPLU,-0.131276853586562,,0.0,158.05109506723505,,0.0,0.0,0.0
33,HATTIAN BALA,-0.25043494336499506,,0.0,173.54011680450407,,0.0,0.0,0.0
34,KHAWAZA KHELA,-0.33329541395965573,,0.0,184.31091409227102,,0.0,0.0,0.0
35,MARTUNG,-0.4323033612468377,,0.0,197.18067602404636,,0.0,0.0,0.0
36,TORGHER,-0.4415827454686125,,0.0,198.3868768299404,,0.0,0.0,0.0
37,PURAN,-0.42737786771719743,,0.0,196.5404251062175,,0.0,0.0,0.0
38,CHARBAGH,-0.42720942095576464,,0.0,196.51852919000856,,0.0,0.0,0.0
39,OGHI,-0.4501584963957129,,0.0,199.50161434184793,,0.0,0.0,0.0
40,MATTA,-0.4053583201850092,,0.0,193.67816664768503,,0.0,0.0,0.0
41,SHARINGAL,-0.37344587457501527,,0.0,189.52995845920435,,0.0,0.0,0.0
42,HAVELI,-0.39427219346951237,,0.0,192.23711251533246,,0.0,0.0,0.0
43,ABBOTTABAD,-0.478932355081529,,0.0,203.241846528168,,0.0,0.0,0.0
44,BAGH,-0.4239777977470737,,0.0,196.09845966540348,,0.0,0.0,0.0
45,DHEERKOT,-0.45799777903400596,,0.0,200.52062043211754,,0.0,0.0,0.0
46,BABUZAI,-0.5361812635533798,,0.0,210.68346958040254,,0.0,0.0,0.0
47,GAGRA,-0.5685592983160342,,0.0,214.89219838078296,,0.0,0.0,0.0
48,KABAL,-0.5464135081629221,,0.0,212.01353000242636,,0.0,0.0,0.0
49,MASHABRUM,-0.40438842501197536,,0.0,193.55209272818928,,0.0,0.0,0.0
50,ABBASPUR,-0.4941692417024244,,0.0,205.222446154414,,0.0,0.0,0.0
51,RAWALAKOT,-0.5350834467254396,,0.0,210.54076748822297,,0.0,0.0,0.0
52,WARI,-0.5834247856705493,,0.0,216.82452087099173,,0.0,0.0,0.0
53,DAGGAR,-0.6497556891899314,,0.0,225.44668667085298,,0.0,0.0,0.0
54,HAVELIAN,-0.6332534162607214,,0.0,223.30160307149217,,0.0,0.0,0.0
55,CHITRAL,-0.5562998673764263,,0.0,213.29862976397132,,0.0,0.0,0.0
56,BARIKOT,-0.682252162683815,,0.0,229.6708109855955,,0.0,0.0,0.0
57,KHADO KHEL,-0.7090864993290338,,0.0,233.1589302091903,,0.0,0.0,0.0
58,MURREE,-0.6359745715629919,,0.0,223.65531832243084,,0.0,0.0,0.0
59,HAJEERA,-0.5934104120425859,,0.0,218.12252408860218,,0.0,0.0,0.0
