shapeName,shapeISO,shapeID,shapeGroup,shapeType
BAGH,,9618217B73079690921862,PAK,ADM3
DHEERKOT,,9618217B97675599580596,PAK,ADM3
BARNALA,,9618217B79573260848394,PAK,ADM3
BHIMBER,,9618217B68732265330698,PAK,ADM3
SAMAHNI,,9618217B74772899110096,PAK,ADM3
HATTIAN BALA,,9618217B68754169353282,PAK,ADM3
HAVELI,,9618217B64863264884629,PAK,ADM3
KOTLI,,9618217B93166287325125,PAK,ADM3
NAKIAL,,9618217B15093186041287,PAK,ADM3
SEHNSA,,9618217B87362341551768,PAK,ADM3
DUDYAL,,9618217B37808039502792,PAK,ADM3
MIRPUR,,9618217B94086344698677,PAK,ADM3
MUZAFFARABAD,,9618217B57894485120071,PAK,ADM3
ATHUMQAM,,9618217B55768510626440,PAK,ADM3
ABBASPUR,,9618217B83205974251307,PAK,ADM3
HAJEERA,,9618217B82484311896760,PAK,ADM3
RAWALAKOT,,9618217B87664867246475,PAK,ADM3
PALLANDARI,,9618217B46803973144296,PAK,ADM3
Awaran,,9618217B88045410049707,PAK,ADM3
Gishkore Sub,,9618217B50287416070494,PAK,ADM3
Jhal Jhao,,9618217B51211868721813,PAK,ADM3
Jhal Jhao Sub,,9618217B69007943455910,PAK,ADM3
Mashkai,,9618217B85729493897021,PAK,ADM3
Barkhan,,9618217B63340805873154,PAK,ADM3
Chagai Sub,,9618217B19880164202310,PAK,ADM3
Dalbadin,,9618217B63356701438573,PAK,ADM3
Naukandi,,9618217B66554790075537,PAK,ADM3
Taftan,,9618217B2962159940384,PAK,ADM3
Bekerh,,9618217B34454311696398,PAK,ADM3
Dera Bughti,,9618217B2743598749374,PAK,ADM3
Loti Sub,,9618217B77093701307545,PAK,ADM3
Malum,,9618217B39169315447774,PAK,ADM3
Phelawagh,,9618217B2654928190032,PAK,ADM3
Pir Koh,,9618217B88157141720141,PAK,ADM3
Sangsilla,,9618217B73869134124680,PAK,ADM3
Sui,,9618217B39625992285529,PAK,ADM3
Gwadar,,9618217B73177395836711,PAK,ADM3
Jiwani,,9618217B19586931991950,PAK,ADM3
Ormara,,9618217B66549368810061,PAK,ADM3
Pasni,,9618217B43513523941512,PAK,ADM3
Sunstar Sub,,9618217B87381485340477,PAK,ADM3
Harnai,,9618217B37623205029699,PAK,ADM3
Khost,,9618217B63716992539538,PAK,ADM3
Shahrig,,9618217B40498101001050,PAK,ADM3
Ghandakha,,9618217B10228752646001,PAK,ADM3
Jhat Pat,,9618217B86464903653788,PAK,ADM3
