shapeName,shapeID,tehsil_area_km2,road_length_km,road_density_km_per_km2,tri_mean,forest_pct,water_pct,dist_to_roads_mean_m,spi_no_snow,ai,priority_high_scenic_low_access,spi_source,spi,spi_z,ai_z,road_density_z,dist_to_roads_z,tri_z,forest_z,water_z,gap_index,spi_local_I,spi_local_p,spi_quadrant,spi_cluster,ai_local_I,ai_local_p,ai_quadrant,ai_cluster,gap_local_I,gap_local_p,gap_quadrant,gap_cluster,spi_ai_bv_local_I,spi_ai_bv_local_p,spi_ai_bv_quadrant,spi_ai_bv_cluster
CHITRAL,9618217B14913426707390,5917.922388566619,28.77483612851912,0.0048623206320028605,54.165705637991934,0.27781298319434233,27.869677997177934,40645.09675070184,0.7758302524437307,-2.1437099482940747,True,merged_from_tehsil_spi_ai.csv,0.7710263037622241,1.218300475009616,-2.360748262077971,-0.8817273433935413,3.4056925531946076,1.0758103923554074,-0.21545722378122256,1.4149793179015688,3.5790487370875868,0.7262741024970677,0.14,1,Not Significant,1.0588075209508088,0.192,3,Not Significant,1.1637180006393657,0.152,1,Not Significant,-0.5464139173325884,0.205,4,Not Significant
KANDIA,9618217B42691934354201,2087.676811297326,0.0,0.0,60.75071518169327,0.32858655094289013,17.641170074674406,36301.094952473235,0.8229986071777212,-1.9315890794438708,True,merged_from_tehsil_spi_ai.csv,0.8179025915720137,1.2923698075689447,-2.1271513741747885,-0.9417954843092847,2.921382674578457,1.5543639956471296,-0.19957208654221684,0.6384811973888268,3.4195211817437334,1.1560979162206813,0.025,1,HH,2.9074342712406605,0.002,3,LL,2.4068603739838577,0.005,1,HH,-1.7664376476734438,0.001,4,HL
GOJAL,9618217B58972864826743,10801.975096734648,109.55303763849194,0.010141945029257563,53.69587780654561,0.12293666817560318,54.55462766760073,23963.102539197767,1.2221676488655961,-1.1811660002321505,True,merged_from_tehsil_spi_ai.csv,1.2145999745620295,1.9191922749394625,-1.3007522703771675,-0.8165039148542639,1.545828085610037,1.0416665084060766,-0.263912190178862,3.440769728590207,3.21994454531663,2.8659799563911137,0.001,1,HH,1.4669171990436516,0.005,3,LL,2.626877599104654,0.002,1,HH,-2.164359978832928,0.002,4,HL
GUPIS,9618217B90015961408219,5298.000053249936,1.6852476286787663,0.0003180912819442102,49.85490008975599,0.41961605979953565,39.63267078165997,31219.860492660402,0.8515678554019418,-1.646372531780906,True,merged_from_tehsil_spi_ai.csv,0.8462949387255349,1.3372326220475024,-1.813058290011494,-0.9378658479496143,2.354879215612198,0.7625304320899737,-0.17109238135095697,2.307967997967001,3.1502909120589964,1.4840263502923625,0.001,1,HH,2.2193591982984464,0.001,3,LL,2.288443281591869,0.002,1,HH,-1.6369024296439243,0.001,4,HL
MASTUJ,9618217B15142704211186,8849.246038145178,37.54082751447827,0.004242262826986209,52.15655054171271,0.376761478568442,40.006441333016916,26035.355795874842,0.9330153551301374,-1.333124820244596,True,merged_from_tehsil_spi_ai.csv,0.927238114720931,1.4651311247092083,-1.4680960477092062,-0.8893874140524983,1.7768622264366936,0.9297986964701634,-0.18449996593408907,2.336342823780368,2.9332271724184142,1.6452546812992686,0.003,1,HH,1.9253765442001272,0.002,3,LL,2.2225605153906196,0.001,1,HH,-1.9214881111453121,0.001,4,HL
ISHKOMEN,9618217B15965056410830,2754.8893163101698,3.7701063984185788,0.0013685146536007353,56.27520600759633,0.3161719597942523,33.913526424498066,24901.086704755548,0.9594605751025264,-1.2876462223652774,True,merged_from_tehsil_spi_ai.csv,0.953519585626796,1.506658538666853,-1.4180130031299791,-0.9248891267736058,1.650403317956949,1.2291144986471005,-0.20345614458475805,1.8737986276224832,2.9246715417968323,1.991269455202571,0.001,1,HH,1.509323333202677,0.002,3,LL,2.1720373534480197,0.002,1,HH,-1.6036770343850537,0.001,4,HL
RONDU,9618217B20972596228202,1651.8703934276025,0.0,0.0,58.37408555829063,0.16649311021238467,26.317414573898724,23711.633060259013,0.881782667047188,-1.2297937022703123,True,merged_from_tehsil_spi_ai.csv,0.8763226599549228,1.3846794949475756,-1.354303247815505,-0.9417954843092847,1.51779192023134,1.3816467562230696,-0.2502850197813896,1.297139097231146,2.7389827427630804,1.2201551351111226,0.042,1,HH,0.8959236267743197,0.084,3,Not Significant,1.315192185549405,0.04,1,HH,-0.9160186812181862,0.089,4,Not Significant
SHIGAR,9618217B26900800837648,8917.203853891411,99.1559916517365,0.011119628223870363,51.51642561094096,0.18043294936663437,29.9020795205799,29198.584833021156,0.7125699096060243,-1.4669771723008518,True,merged_from_tehsil_spi_ai.csv,0.7081576695999781,1.1189615983859067,-1.6155001812503669,-0.804425811341628,2.1295285332600757,0.8832787802658358,-0.24592376907804003,1.5692692666414814,2.7344617796362733,1.463155716822524,0.001,1,HH,1.171704754878229,0.026,3,LL,1.7302085158305491,0.003,1,HH,-0.8115707076802359,0.01,4,HL
NAGAR-II,9618217B11035459557122,1450.7271779732662,0.0,0.0,58.81352176218135,0.35217819803303996,21.773020806770642,23225.85361642637,0.8327237783582233,-1.202714088310122,True,merged_from_tehsil_spi_ai.csv,0.8275675443953135,1.3076414222442372,-1.3244819785504467,-0.9417954843092847,1.463632692310959,1.4135819838629278,-0.19219114861842995,0.9521510260696304,2.6321234007946837,2.1211185058166477,0.001,1,HH,1.2060411450819193,0.02,3,LL,2.0749018643026167,0.002,1,HH,-1.1907065432222654,0.009,4,HL
ALIABAD,9618217B18607943062555,805.7070538812313,18.051123268965824,0.022404077489467687,68.42625088891879,0.04096630831491919,28.53862005611143,13333.86413374851,1.2536833629485977,-0.512900659703651,True,merged_from_tehsil_spi_ai.csv,1.2459205430282692,1.9686819787975536,-0.5648289041983476,-0.6650199720431927,0.3607813473641093,2.1121696063315474,-0.28955762881272473,1.465762115884351,2.533510882995901,3.1659994562742924,0.001,1,HH,0.6343973282273879,0.021,3,LL,2.1538360945355213,0.002,1,HH,-2.2111591283579157,0.027,4,HL
