shapeName,shapeID,tehsil_area_km2,road_length_km,road_density_km_per_km2,tri_mean,forest_pct,water_pct,dist_to_roads_mean_m,spi_no_snow,ai,priority_high_scenic_low_access,spi_source,spi,spi_z,ai_z,road_density_z,dist_to_roads_z,tri_z,forest_z,water_z,gap_index,spi_local_I,spi_local_p,spi_quadrant,spi_cluster,ai_local_I,ai_local_p,ai_quadrant,ai_cluster,gap_local_I,gap_local_p,gap_quadrant,gap_cluster,spi_ai_bv_local_I,spi_ai_bv_local_p,spi_ai_bv_quadrant,spi_ai_bv_cluster
BAGH,9618217B73079690921862,449.2769935179929,98.83617547036924,0.21998939829179345,38.98483343627915,0.017803493935684877,0.10682096361410928,2792.6241557602516,-0.26317878867668487,1.2951821215410928,False,merged_from_tehsil_spi_ai.csv,-0.2615491829853863,-0.4132744788532399,1.426311868793526,1.7759097384986708,-0.8144545045835145,-0.0274319104882899,-0.2968044011309114,-0.6926405294856915,-1.8395863476467658,0.08349300102390092,0.308,3,Not Significant,1.055314600883508,0.035,1,HH,0.5393194519835713,0.079,3,Not Significant,-0.3057778605427014,0.031,2,LH
DHEERKOT,9618217B97675599580596,230.1728394494436,25.600339909718112,0.11122224486152334,37.58955988862831,0.26514822220290357,0.00869338433452143,3358.645386538754,-0.28988849233986996,0.5917855777549972,False,merged_from_tehsil_spi_ai.csv,-0.2880934998963895,-0.4552172164014701,0.6517004669030296,0.4322219824399901,-0.7513491730700043,-0.12883088028091746,-0.21941955054629347,-0.7000898936997455,-1.1069176833044998,0.07463749188278086,0.362,3,Not Significant,0.522660110826347,0.054,1,Not Significant,0.3328009936181245,0.122,3,Not Significant,-0.3650816484835442,0.044,2,LH
BARNALA,9618217B79573260848394,425.7600286789201,41.42942697686006,0.09730699029077569,9.399435620994886,0.27011791234086535,0.35702541457227416,3256.0872667453923,-1.2472872975810005,0.5115495040239268,False,merged_from_tehsil_spi_ai.csv,-1.2395640821613896,-1.9586381200398015,0.5633409517702482,0.26031569824050327,-0.7627833098073505,-2.177496938543695,-0.21786472165840004,-0.6736462355588619,-2.52197907181005,3.0091621114664053,0.003,3,LL,0.40943538390427847,0.162,1,Not Significant,1.7765112518595199,0.013,3,LL,-1.4235353351962772,0.148,2,Not Significant
BHIMBER,9618217B68732265330698,372.1665580690074,44.5778646609701,0.11977933990701131,13.636903656130324,0.2553282984384659,0.01343833149676136,3049.6537523346806,-1.1098677110039374,0.6618665380723991,False,merged_from_tehsil_spi_ai.csv,-1.1029953990386203,-1.742845622808452,0.7288767217437178,0.5379346307665267,-0.7857984453782717,-1.8695466487848544,-0.22249183487831437,-0.6997296805991323,-2.4717223445521697,0.9294861829752245,0.175,3,Not Significant,0.8002286296847814,0.034,1,HH,1.2549363172361447,0.036,3,LL,-1.9134579591945207,0.028,2,LH
SAMAHNI,9618217B74772899110096,398.290898685503,48.18687000634706,0.12098411027060951,21.258482172573444,0.017573810002008434,0.0,2954.873309254766,-0.8713340555992709,0.67459178902324,False,merged_from_tehsil_spi_ai.csv,-0.8659387464135783,-1.3682718487516554,0.7428903312297445,0.5528181239478307,-0.7963654540986495,-1.3156622788975907,-0.2968762605839661,-0.7007498527717622,-2.1111621799813998,1.0539976551535266,0.065,3,Not Significant,0.8980047193740281,0.006,1,HH,1.3004823647014445,0.006,3,LL,-1.6539649607926092,0.001,2,LH
HATTIAN BALA,9618217B68754169353282,724.0401355896437,29.398694720436346,0.04060368103281269,48.7239807334394,0.5496706119574074,0.6339166102724875,11719.436505599719,0.12824842786979443,-0.31048778792930015,True,merged_from_tehsil_spi_ai.csv,0.1274543123219284,0.20139085850398594,-0.3419228922895207,-0.4401856937241178,0.18078988213448247,0.6803429228075714,-0.13040320977616038,-0.652626014948316,0.5433137507935066,-0.03520285104251507,0.38,4,Not Significant,-0.27387201068749956,0.088,2,Not Significant,-0.16501096394899636,0.159,4,Not Significant,0.16130923256775095,0.08,1,Not Significant
HAVELI,9618217B64863264884629,542.0247773282896,24.607575538360948,0.04539935546794536,45.03994148119412,0.02766966113888325,0.02766966113888325,8184.36993639234,-0.056605233090746915,-0.08380427109882904,False,merged_from_tehsil_spi_ai.csv,-0.0562547329213913,-0.08888823572587937,-0.09228897197995918,-0.38094088665409986,-0.21333234445644178,0.41261206423706787,-0.2937176489684092,-0.6986493078992986,0.003400736254079814,0.037123444899366996,0.307,3,Not Significant,-0.16133341883387775,0.005,2,LH,-0.002292444847382365,0.023,4,HL,-0.15538847877601084,0.004,2,LH
KOTLI,9618217B93166287325125,939.7529399679754,225.51439564363682,0.23997200333453794,23.862582254088593,0.7278686431208964,0.019154437976865696,2588.048759985811,-0.7165737675795892,1.4300166710276556,False,merged_from_tehsil_spi_ai.csv,-0.7121367356449317,-1.125248929997043,1.5747976416107743,2.0227708623149327,-0.8372624797403784,-1.1264140372555795,-0.07465175668207276,-0.6992957418495043,-2.7000465716078175,0.6091441759772398,0.05,3,LL,1.664889940287837,0.002,1,HH,1.3434150754479282,0.005,3,LL,-1.1896230819570663,0.002,2,LH
NAKIAL,9618217B15093186041287,190.8223633876274,6.768827436911808,0.03547187717805348,29.442136610747884,0.0,0.005247691015952981,5025.438984795642,-0.5929834480360169,0.030968241929137608,False,merged_from_tehsil_spi_ai.csv,-0.5893116885958881,-0.9311727844326564,0.03410359847049277,-0.503582976715029,-0.5655194605733043,-0.7209300627189995,-0.3023744439118867,-0.7003514738252148,-0.9652763829031492,1.0348653622965076,0.145,3,Not Significant,0.053043226115331236,0.06,1,Not Significant,0.801199189229833,0.026,3,LL,-1.4483048936856155,0.042,2,LH
SEHNSA,9618217B87362341551768,485.5476113404167,102.36628036000694,0.2108264523790193,22.803358758685125,1.1102871503316443,0.012359411692003462,2296.135122908732,-0.7177301662333522,1.26626013333589,False,merged_from_tehsil_spi_ai.csv,-0.7132859738666665,-1.1270648440126956,1.394461695478052,1.6627125291930531,-0.8698077374787269,-1.2033911801211408,0.04499259251677153,-0.6998115868954294,-2.521526539490748,0.9024107622167865,0.087,3,Not Significant,1.347042922606947,0.055,1,Not Significant,1.3865359888497248,0.034,3,LL,-1.0887389208105358,0.043,2,LH
DUDYAL,9618217B37808039502792,317.56877674041453,57.1235400321419,0.17987769647403193,9.195517754113597,10.77489845398155,0.028338423753896537,2350.122246015109,-0.2934998249439275,1.0720832550570283,False,merged_from_tehsil_spi_ai.csv,-0.2916824710928489,-0.4608881582255129,1.180625524079334,1.280377761174687,-0.8637887489393697,-2.192316298990172,3.0686855045539763,-0.6985985387238176,-1.6415136823048468,0.08274728125527088,0.373,3,Not Significant,1.942591696760061,0.001,1,HH,0.9324025934335616,0.029,3,LL,-0.7583416511362464,0.001,2,LH
MIRPUR,9618217B94086344698677,582.185808431261,173.23667666366114,0.29756252068469186,6.924880331162268,26.577605302470936,0.25413396981300546,1576.8759969106088,1.0870183408495488,1.8421150533311237,False,merged_from_tehsil_spi_ai.csv,1.0802875124127234,1.706964837771932,2.028618617066078,2.7342326463920252,-0.9499974602702222,-2.3573307478396437,8.012757354679367,-0.681457249059339,-0.32165377929414607,-1.9797650290402184,0.005,4,HL,2.117372043323592,0.012,1,HH,0.22061114021652603,0.003,3,LL,1.7816456952672002,0.005,1,HH
MUZAFFARABAD,9618217B57894485120071,1303.0581155334157,104.04317479874291,0.07984538337812518,47.62532527544763,0.7075652694426964,6.777892038739582,4715.810160371042,0.21495054484486031,0.322319128072845,False,merged_from_tehsil_spi_ai.csv,0.2136195689216554,0.33754078300402746,0.354952087635726,0.04459848334915229,-0.6000397727965378,0.600500133710784,-0.08100391769014469,-0.18620555471823083,-0.017411304631698543,0.03321015844979746,0.41,1,Not Significant,0.02493777222550811,0.459,1,Not Significant,-0.0001524552002893894,0.498,2,Not Significant,0.023714510934255088,0.443,1,Not Significant
